Model,Repeated CV ROC-AUC Mean,Repeated CV ROC-AUC SD,Repeated CV F1 Mean,Repeated CV F1 SD,Accuracy,Precision,Sensitivity (Recall),Specificity,NPV,F1,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Brier Score,TN,FP,FN,TP,Accuracy CI95 Low,Accuracy CI95 High,Sensitivity (Recall) CI95 Low,Sensitivity (Recall) CI95 High,Specificity CI95 Low,Specificity CI95 High,F1 CI95 Low,F1 CI95 High,Balanced Accuracy CI95 Low,Balanced Accuracy CI95 High,MCC CI95 Low,MCC CI95 High,ROC-AUC CI95 Low,ROC-AUC CI95 High,Brier Score CI95 Low,Brier Score CI95 High
Random Forest,0.9901788785689714,0.008241216487811742,0.9408388943759253,0.03331762099646416,0.9736842105263158,1.0,0.9285714285714286,1.0,0.96,0.9629629629629629,0.9642857142857143,0.9441549509633318,0.9973544973544973,0.995778932130171,0.028841337719298244,72,0,3,39,0.9385964912280702,1.0,0.8409090909090909,1.0,1.0,1.0,0.9135802469135802,1.0,0.9204545454545454,1.0,0.8767529025751286,1.0,0.9914529914529914,1.0,0.014471369243421052,0.04676817023026316
Soft Voting Ensemble,0.9956312349501204,0.004438193021373147,0.9723072186812309,0.020132628913313223,0.9736842105263158,1.0,0.9285714285714286,1.0,0.96,0.9629629629629629,0.9642857142857143,0.9441549509633318,0.9966931216931217,0.9954212454212454,0.019067819279412753,72,0,3,39,0.9385964912280702,1.0,0.8444444444444444,1.0,1.0,1.0,0.9156626506024096,1.0,0.9222222222222223,1.0,0.878783405608346,1.0,0.9873623265493701,1.0,0.006393827025728451,0.03836498916004012
Logistic Regression,0.9960096319229447,0.00471091460949714,0.9672290049679636,0.019733322883473455,0.9649122807017544,0.975,0.9285714285714286,0.9861111111111112,0.9594594594594594,0.9512195121951219,0.9573412698412699,0.9245181185940877,0.996031746031746,0.994273631904294,0.02131313900119227,71,1,3,39,0.9298245614035088,0.9912280701754386,0.8372093023255814,1.0,0.9545454545454546,1.0,0.8940861344537816,0.989247311827957,0.9097222222222223,0.9931506849315068,0.8406711253909721,0.9820032652778046,0.9859937192384471,1.0,0.00651980458612889,0.043037183670563986
SVM (RBF),0.994874441004472,0.00540290048238057,0.9613471947287722,0.02043658052169221,0.9736842105263158,1.0,0.9285714285714286,1.0,0.96,0.9629629629629629,0.9642857142857143,0.9441549509633318,0.9947089947089947,0.9926841545673083,0.022221928679031264,72,0,3,39,0.9385964912280702,1.0,0.8444444444444444,1.0,1.0,1.0,0.9156626506024096,1.0,0.9222222222222223,1.0,0.8778142125953462,1.0,0.9830452187800328,1.0,0.006897818497166892,0.04268641052669315
XGBoost,0.9928104575163399,0.006959707668068987,0.9554394834297113,0.020176130482501643,0.9649122807017544,1.0,0.9047619047619048,1.0,0.9473684210526315,0.95,0.9523809523809523,0.9258200997725514,0.9937169312169313,0.9925839188134271,0.022774899378418922,72,0,4,38,0.9298245614035088,0.9912280701754386,0.8038235294117648,0.9782608695652174,1.0,1.0,0.8912439613526569,0.989010989010989,0.9019117647058824,0.9891304347826086,0.8475008235798295,0.9818773730988013,0.977498955499417,1.0,0.004076173547791938,0.04898604422027176
